,Date,Close,High,Low,Open,Volume
0,2022-01-03,178.87989807128906,179.7349465415521,174.65385883537695,174.77179035001552,104487900
1,2022-01-04,176.60964965820312,179.79393593953884,176.0396222685355,179.4892694890775,99310400
2,2022-01-05,171.91184997558594,177.07156425536837,171.6366664137079,176.5211971316123,94537600
3,2022-01-06,169.0420684814453,172.285320469028,168.68825890104756,169.73002738877994,96904000
4,2022-01-07,169.20912170410156,171.14524402422893,168.08872734087262,169.91674077523325,86709100
5,2022-01-10,169.2288055419922,169.53347199078678,165.27793434356843,166.17228843262194,106765600
6,2022-01-11,172.06906127929688,172.16733253020325,167.88232808201516,169.35653181299298,76138300
7,2022-01-12,172.5113525390625,174.13297095610363,171.8135710369917,173.09120251884048,74805200
8,2022-01-13,169.2288055419922,173.5826144650006,168.835675449693,172.7570637657418,84505800
9,2022-01-14,170.0936737060547,170.79145523828697,168.14771352583708,168.39341420548664,80440800
10,2022-01-18,166.87989807128906,169.57276781693594,166.4966056259258,168.56048225619764,90956700
11,2022-01-19,163.37130737304688,168.13790701368765,163.08630115574192,167.07647817629606,94815000
12,2022-01-20,161.6808624267578,166.76195044943782,161.3565357449214,164.10838623013277,91420500
13,2022-01-21,159.61700439453125,163.4695895238368,159.50889548799853,161.59243259966877,122848900
14,2022-01-24,158.840576171875,159.50888984216238,152.03958291935942,157.26810076459748,162294600
15,2022-01-25,157.03221130371094,159.9609590965899,154.31968130054574,156.24596615896806,115798400
16,2022-01-26,156.94375610351562,161.56292551584528,155.1059199641222,160.6882317654177,108275300
17,2022-01-27,156.48184204101562,161.02238556956317,155.55800513342504,159.65629046052865,121954600
18,2022-01-28,167.40074157714844,167.4204018249537,160.00024039603767,162.86019909851277,179935700
19,2022-01-31,171.77426147460938,171.99047927683918,166.5948868425434,167.2337176205423,115541600
20,2022-02-01,171.607177734375,171.83321815334287,169.3467285555597,171.01749012376968,86213900
21,2022-02-02,172.81600952148438,172.8553300243515,170.34918033798783,171.7447582622127,84914300
22,2022-02-03,169.92660522460938,173.20917811107464,169.16002020827554,171.47943551308546,89418100
23,2022-02-04,169.64120483398438,171.32394513354754,167.9584645344212,168.94251932550307,82465400
24,2022-02-07,168.92286682128906,171.17634592324976,168.22418123926562,170.1037296917855,77251200
25,2022-02-08,172.04232788085938,172.5540406567285,168.69653205769893,168.9917515443729,74829200
26,2022-02-09,173.4691925048828,173.83328800439335,172.1111919697569,173.24286408752374,71285000
27,2022-02-10,169.37550354003906,172.68192819387235,168.8146001247778,171.36329839541398,90865900
28,2022-02-11,165.95101928710938,170.32022548644153,165.360580335394,169.58218430454045,98670700
29,2022-02-14,166.18719482421875,166.8760302449342,163.90418026929203,164.70126232865465,86185500
30,2022-02-15,170.03485107421875,170.19230347259372,167.53535806583648,168.2438788430367,62527400
31,2022-02-16,169.79867553710938,170.57607229918491,167.33853829378842,169.1098401120767,61177400
32,2022-02-17,166.18719482421875,169.1688799431976,165.7837287151261,168.3029068340204,69589300
33,2022-02-18,164.6323699951172,167.82069791691148,163.54006857345092,167.1121922796674,82772700
34,2022-02-22,161.6999053955078,164.03211066057264,159.56449308823295,162.3493702057695,91162800
35,2022-02-23,157.5176544189453,163.50069421366558,157.20274968475783,162.90042020266935,90009200
36,2022-02-24,160.14511108398438,160.25335773120963,149.57635530980806,150.1471089937697,141147500
37,2022-02-25,162.22145080566406,162.48713480856267,158.30490162446958,161.22754578023935,91974200
38,2022-02-28,162.48715209960938,162.78237159417588,159.8400418236256,160.46000126066653,95056600
39,2022-03-01,160.59774780273438,163.9435432871471,159.3873645469528,162.0738300711703,83474400
40,2022-03-02,163.9041748046875,164.69142169446647,160.35173616541616,161.7687775639212,79724800
41,2022-03-03,163.57943725585938,166.21671212228483,162.91028714997404,165.78372557589515,76678400
42,2022-03-04,160.56822204589844,162.9102773059474,159.51529120397137,161.86718160657645,83737200
43,2022-03-07,156.75994873046875,162.3887439653584,156.50408484630077,160.75520922600182,96418800
44,2022-03-08,154.92959594726562,160.28285666328267,153.3157466151268,156.28759642734667,131148300
45,2022-03-09,160.3517303466797,160.80440217190915,156.8681828813347,158.9051685561548,91454900
46,2022-03-10,155.9923553466797,157.83253283188523,153.49284799843335,157.64556003629005,105342000
47,2022-03-11,152.2628173828125,156.74027038411012,152.03648894987714,156.3958451472846,96970100
48,2022-03-14,148.21832275390625,151.66251440478936,147.70662509120922,149.03509000440232,108732100
49,2022-03-15,152.6170654296875,153.08942257610076,147.98217542358523,148.4938731423045,92964300
50,2022-03-16,157.04530334472656,157.44876942008187,151.99711238572482,154.54581073699606,102300200
51,2022-03-17,158.0588836669922,158.4328293113158,155.1165693039783,156.08093884327653,75615400
52,2022-03-18,161.36534118652344,161.85736870631507,157.21262771824308,157.9506689979305,123511700
53,2022-03-21,162.74298095703125,163.69751527513725,160.410760966115,160.90278834594352,95811400
54,2022-03-22,166.12815856933594,166.71858251121776,162.28050023380402,162.87092417568584,81532000
55,2022-03-23,167.49600219726562,169.8872485547504,164.9768088738895,165.31139897375533,98062700
56,2022-03-24,171.29443359375,171.36330962465348,167.4959813021374,168.33241890873853,90131400
57,2022-03-25,171.9340362548828,172.4851044775775,169.99544731866433,171.1074339208408,80546200
58,2022-03-28,172.800048828125,172.92796575635768,169.25744513309817,169.42473266654576,90371900
59,2022-03-29,176.10646057128906,176.15565130084448,173.52822668291532,173.8726518827145,100589400
60,2022-03-30,174.93540954589844,176.74606660387158,173.88246380150596,175.70297101646278,92633200
61,2022-03-31,171.82582092285156,175.19128676604245,171.61916279397346,175.00431393883977,103049300
62,2022-04-01,171.5305938720703,172.09151232886626,169.1983887454629,171.25505972274473,78751300
63,2022-04-04,175.59474182128906,175.6439475646401,171.6585226009615,171.78645453057726,76468400
64,2022-04-05,172.26864624023438,175.45698948199342,171.6388517127187,174.66974256872732,73401800
65,2022-04-06,169.09014892578125,170.86145068243167,167.4172586616336,169.61169680197753,89058800
66,2022-04-07,169.3951873779297,170.5957353976524,167.14170856316215,168.43081790840108,77594700
67,2022-04-08,167.37783813476562,169.0408927598191,166.5020301684659,169.0408927598191,76575500
68,2022-04-11,163.1071014404297,166.33480034612657,162.8610877127669,166.01991058277108,72246700
69,2022-04-12,164.9866485595703,167.1614014854587,163.98290835466773,165.34090892509556,79265200
70,2022-04-13,167.6829376220703,168.3127321148904,164.11082878699807,164.72093797881234,70618900
71,2022-04-14,162.6544189453125,168.5390777375964,162.4084052337266,167.8994330781819,75329400
